CNN,zone
12469000,E
1247000,E
12470000,E
12471000,B
12472000,B
12473000,B
12474000,B
12475000,B
12476000,B
12477000,B
12480000,C
12481000,D
12482000,E
12483000,E
12484000,E
12485000,E
12486000,E
12488000,E
12489000,E
1249000,E
12491000,E
12492000,E
12495000,E
12498000,F
12499000,F
125000,C
1250000,E
12500000,F
12501000,F
12504000,F
12505000,F
12506000,F
12507000,F
12509000,F
12510000,F
12511000,F
12513000,F
12514000,F
12515000,F
12517000,F
12518000,F
12519000,F
1252000,E
12520000,F
12522000,C
12523000,C
12527000,F
12528000,F
12529000,F
1253000,D
12530000,F
12531000,E
12532001,E
12532002,E
12532003,E
12532004,E
12532007,E
12539000,E
1254000,D
12540000,E
12541000,E
12542000,E
12543000,E
12544000,E
12545000,E
12547101,B
12547201,B
12548101,B
12548201,B
12549101,B
12549201,B
1255000,D
12550102,B
12550202,B
12551102,B
12551202,B
12552101,B
12552201,B
12553102,B
12553103,A
12553201,A
12554101,A
12554201,A
12555102,A
12555202,A
12556102,A
12556202,A
12557101,A
12557201,A
12559101,A
